"MSSubClass","MSZoning","LotFrontage","LotArea","LotShape","LandContour","LotConfig","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","HeatingQC","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","FullBath","HalfBath","BedroomAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","WoodDeckSF","OpenPorchSF","EnclosedPorch","Fence","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
60,"RL",65,8450,3,"Lvl","Inside","CollgCr","Norm","1Fam","2Story",7,5,2003,2003,"Gable","VinylSd","VinylSd",1,196,"Gd","TA","PConc",4,3,1,6,706,1,0,150,856,"Ex",856,854,1710,1,2,1,3,"Gd",8,0,0,"Attchd",2003,2,2,548,3,0,61,0,"None",2,2008,"WD","Normal",208500
20,"RL",80,9600,3,"Lvl","FR2","Veenker","Feedr","1Fam","1Story",6,8,1976,1976,"Gable","MetalSd","MetalSd",0,0,"TA","TA","CBlock",4,3,4,5,978,1,0,284,1262,"Ex",1262,0,1262,0,2,0,3,"TA",6,1,3,"Attchd",1976,2,2,460,3,298,0,0,"None",5,2007,"WD","Normal",181500
60,"RL",68,11250,2,"Lvl","Inside","CollgCr","Norm","1Fam","2Story",7,5,2001,2002,"Gable","VinylSd","VinylSd",1,162,"Gd","TA","PConc",4,3,2,6,486,1,0,434,920,"Ex",920,866,1786,1,2,1,3,"Gd",6,1,3,"Attchd",2001,2,2,608,3,0,42,0,"None",9,2008,"WD","Normal",223500
70,"RL",60,9550,2,"Lvl","Corner","Crawfor","Norm","1Fam","2Story",7,5,1915,1970,"Gable","Wd Sdng","Wd Shng",0,0,"TA","TA","BrkTil",3,4,1,5,216,1,0,540,756,"Gd",961,756,1717,1,1,0,3,"Gd",7,1,4,"Detchd",1998,1,3,642,3,0,35,272,"None",2,2006,"WD","Abnorml",140000
60,"RL",84,14260,2,"Lvl","FR2","NoRidge","Norm","1Fam","2Story",8,5,2000,2000,"Gable","VinylSd","VinylSd",1,350,"Gd","TA","PConc",4,3,3,6,655,1,0,490,1145,"Ex",1145,1053,2198,1,2,1,4,"Gd",9,1,3,"Attchd",2000,2,3,836,3,192,84,0,"None",12,2008,"WD","Normal",250000
50,"RL",85,14115,2,"Lvl","Inside","Mitchel","Norm","1Fam","1.5Fin",5,5,1993,1995,"Gable","VinylSd","VinylSd",0,0,"TA","TA","Wood",4,3,1,6,732,1,0,64,796,"Ex",796,566,1362,1,1,1,1,"TA",5,0,0,"Attchd",1993,1,2,480,3,40,30,0,"MnPrv",10,2009,"WD","Normal",143000
20,"RL",75,10084,3,"Lvl","Inside","Somerst","Norm","1Fam","1Story",8,5,2004,2005,"Gable","VinylSd","VinylSd",2,186,"Gd","TA","PConc",5,3,3,6,1369,1,0,317,1686,"Ex",1694,0,1694,1,2,0,3,"Gd",7,1,4,"Attchd",2004,2,2,636,3,255,57,0,"None",8,2007,"WD","Normal",307000
60,"RL",80,10382,2,"Lvl","Corner","NWAmes","PosN","1Fam","2Story",7,6,1973,1973,"Gable","HdBoard","HdBoard",2,240,"TA","TA","CBlock",4,3,2,5,859,4,32,216,1107,"Ex",1107,983,2090,1,2,1,3,"TA",7,2,3,"Attchd",1973,2,2,484,3,235,204,228,"None",11,2009,"WD","Normal",200000
50,"RM",51,6120,3,"Lvl","Inside","OldTown","Artery","1Fam","1.5Fin",7,5,1931,1950,"Gable","BrkFace","Wd Shng",0,0,"TA","TA","BrkTil",3,3,1,1,0,1,0,952,952,"Gd",1022,752,1774,0,2,0,2,"TA",8,2,3,"Detchd",1931,1,2,468,2,90,0,205,"None",4,2008,"WD","Abnorml",129900
190,"RL",50,7420,3,"Lvl","Corner","BrkSide","Artery","2fmCon","1.5Unf",5,6,1939,1950,"Gable","MetalSd","MetalSd",0,0,"TA","TA","BrkTil",3,3,1,6,851,1,0,140,991,"Ex",1077,0,1077,1,1,0,2,"TA",5,2,3,"Attchd",1939,2,1,205,4,0,4,0,"None",1,2008,"WD","Normal",118000
20,"RL",70,11200,3,"Lvl","Inside","Sawyer","Norm","1Fam","1Story",5,5,1965,1965,"Hip","HdBoard","HdBoard",0,0,"TA","TA","CBlock",3,3,1,3,906,1,0,134,1040,"Ex",1040,0,1040,1,1,0,3,"TA",5,0,0,"Detchd",1965,1,1,384,3,0,0,0,"None",2,2008,"WD","Normal",129500
60,"RL",85,11924,2,"Lvl","Inside","NridgHt","Norm","1Fam","2Story",9,5,2005,2006,"Hip","WdShing","Wd Shng",2,286,"Ex","TA","PConc",5,3,1,6,998,1,0,177,1175,"Ex",1182,1142,2324,1,3,0,4,"Ex",11,2,4,"BuiltIn",2005,3,3,736,3,147,21,0,"None",7,2006,"New","Partial",345000
20,"RL",72,12968,1,"Lvl","Inside","Sawyer","Norm","1Fam","1Story",5,6,1962,1962,"Hip","HdBoard","Plywood",0,0,"TA","TA","CBlock",3,3,1,5,737,1,0,175,912,"TA",912,0,912,1,1,0,2,"TA",4,0,0,"Detchd",1962,1,1,352,3,140,0,0,"None",9,2008,"WD","Normal",144000
20,"RL",91,10652,2,"Lvl","Inside","CollgCr","Norm","1Fam","1Story",7,5,2006,2007,"Gable","VinylSd","VinylSd",2,306,"Gd","TA","PConc",4,3,3,1,0,1,0,1494,1494,"Ex",1494,0,1494,0,2,0,3,"Gd",7,1,4,"Attchd",2006,2,3,840,3,160,33,0,"None",8,2007,"New","Partial",279500
20,"RL",73,10920,2,"Lvl","Corner","NAmes","Norm","1Fam","1Story",6,5,1960,1960,"Hip","MetalSd","MetalSd",1,212,"TA","TA","CBlock",3,3,1,4,733,1,0,520,1253,"TA",1253,0,1253,1,1,1,2,"TA",5,1,2,"Attchd",1960,2,1,352,3,0,213,176,"GdWo",5,2008,"WD","Normal",157000
45,"RM",51,6120,3,"Lvl","Corner","BrkSide","Norm","1Fam","1.5Unf",7,8,1929,2001,"Gable","Wd Sdng","Wd Sdng",0,0,"TA","TA","BrkTil",3,3,1,1,0,1,0,832,832,"Ex",854,0,854,0,1,0,2,"TA",5,0,0,"Detchd",1991,1,2,576,3,48,112,0,"GdPrv",7,2007,"WD","Normal",132000
20,"RL",73,11241,2,"Lvl","CulDSac","NAmes","Norm","1Fam","1Story",6,7,1970,1970,"Gable","Wd Sdng","Wd Sdng",1,180,"TA","TA","CBlock",3,3,1,5,578,1,0,426,1004,"Ex",1004,0,1004,1,1,0,2,"TA",5,1,3,"Attchd",1970,3,2,480,3,0,0,0,"None",3,2010,"WD","Normal",149000
90,"RL",72,10791,3,"Lvl","Inside","Sawyer","Norm","Duplex","1Story",4,5,1967,1967,"Gable","MetalSd","MetalSd",0,0,"TA","TA","Slab",0,0,0,0,0,0,0,0,0,"TA",1296,0,1296,0,2,0,2,"TA",6,0,0,"CarPort",1967,1,2,516,3,0,0,0,"None",10,2006,"WD","Normal",90000
20,"RL",66,13695,3,"Lvl","Inside","SawyerW","RRAe","1Fam","1Story",5,5,2004,2004,"Gable","VinylSd","VinylSd",0,0,"TA","TA","PConc",3,3,1,6,646,1,0,468,1114,"Ex",1114,0,1114,1,1,1,3,"Gd",6,0,0,"Detchd",2004,1,2,576,3,0,102,0,"None",6,2008,"WD","Normal",159000
20,"RL",70,7560,3,"Lvl","Inside","NAmes","Norm","1Fam","1Story",5,6,1958,1965,"Hip","BrkFace","Plywood",0,0,"TA","TA","CBlock",3,3,1,2,504,1,0,525,1029,"TA",1339,0,1339,0,1,0,3,"TA",6,0,0,"Attchd",1958,1,1,294,3,0,0,0,"MnPrv",5,2009,"COD","Abnorml",139000
60,"RL",101,14215,2,"Lvl","Corner","NridgHt","Norm","1Fam","2Story",8,5,2005,2006,"Gable","VinylSd","VinylSd",1,380,"Gd","TA","PConc",5,3,3,1,0,1,0,1158,1158,"Ex",1158,1218,2376,0,3,1,4,"Gd",9,1,4,"BuiltIn",2005,2,3,853,3,240,154,0,"None",11,2006,"New","Partial",325300
45,"RM",57,7449,3,"Bnk","Inside","IDOTRR","Norm","1Fam","1.5Unf",7,7,1930,1950,"Gable","Wd Sdng","Wd Sdng",0,0,"TA","TA","PConc",3,3,1,1,0,1,0,637,637,"Ex",1108,0,1108,0,1,0,3,"Gd",6,1,4,"Attchd",1930,1,1,280,3,0,0,205,"GdPrv",6,2007,"WD","Normal",139400
20,"RL",75,9742,3,"Lvl","Inside","CollgCr","Norm","1Fam","1Story",8,5,2002,2002,"Hip","VinylSd","VinylSd",1,281,"Gd","TA","PConc",4,3,1,1,0,1,0,1777,1777,"Ex",1795,0,1795,0,2,0,3,"Gd",7,1,4,"Attchd",2002,2,2,534,3,171,159,0,"None",9,2008,"WD","Normal",230000
120,"RM",44,4224,3,"Lvl","Inside","MeadowV","Norm","TwnhsE","1Story",5,7,1976,1976,"Gable","CemntBd","CmentBd",0,0,"TA","TA","PConc",4,3,1,6,840,1,0,200,1040,"TA",1060,0,1060,1,1,0,3,"TA",6,1,3,"Attchd",1976,1,2,572,3,100,110,0,"None",6,2007,"WD","Normal",129900
20,"RL",72,8246,2,"Lvl","Inside","Sawyer","Norm","1Fam","1Story",5,8,1968,2001,"Gable","Plywood","Plywood",0,0,"TA","Gd","CBlock",3,3,2,3,188,5,668,204,1060,"Ex",1060,0,1060,1,1,0,3,"Gd",6,1,3,"Attchd",1968,1,1,270,3,406,90,0,"MnPrv",5,2010,"WD","Normal",154000
20,"RL",110,14230,3,"Lvl","Corner","NridgHt","Norm","1Fam","1Story",8,5,2007,2007,"Gable","VinylSd","VinylSd",2,640,"Gd","TA","PConc",4,3,1,1,0,1,0,1566,1566,"Ex",1600,0,1600,0,2,0,3,"Gd",7,1,4,"Attchd",2007,2,3,890,3,0,56,0,"None",7,2009,"WD","Normal",256300
20,"RL",60,7200,3,"Lvl","Corner","NAmes","Norm","1Fam","1Story",5,7,1951,2000,"Gable","Wd Sdng","Wd Sdng",0,0,"TA","TA","CBlock",3,3,2,4,234,3,486,180,900,"TA",900,0,900,0,1,0,3,"Gd",5,0,0,"Detchd",2005,1,2,576,3,222,32,0,"None",5,2010,"WD","Normal",134800
20,"RL",98,11478,3,"Lvl","Inside","NridgHt","Norm","1Fam","1Story",8,5,2007,2008,"Gable","VinylSd","VinylSd",2,200,"Gd","TA","PConc",5,3,1,6,1218,1,0,486,1704,"Ex",1704,0,1704,1,2,0,3,"Gd",7,1,4,"Attchd",2008,2,3,772,3,0,50,0,"None",5,2010,"WD","Normal",306000
20,"RL",47,16321,2,"Lvl","CulDSac","NAmes","Norm","1Fam","1Story",5,6,1957,1997,"Gable","MetalSd","MetalSd",0,0,"TA","TA","CBlock",3,3,4,4,1277,1,0,207,1484,"TA",1600,0,1600,1,1,0,2,"TA",6,2,4,"Attchd",1957,2,1,319,3,288,258,0,"None",12,2006,"WD","Normal",207500
30,"RM",60,6324,2,"Lvl","Inside","BrkSide","Feedr","1Fam","1Story",4,6,1927,1950,"Gable","MetalSd","MetalSd",0,0,"TA","TA","BrkTil",3,3,1,1,0,1,0,520,520,"Fa",520,0,520,0,1,0,1,"Fa",4,0,0,"Detchd",1920,1,1,240,2,49,0,87,"None",5,2008,"WD","Normal",68500
70,"C (all)",50,8500,3,"Lvl","Inside","IDOTRR","Feedr","1Fam","2Story",4,4,1920,1950,"Gambrel","BrkFace","BrkFace",0,0,"TA","Fa","BrkTil",3,3,1,1,0,1,0,649,649,"TA",649,668,1317,0,1,0,3,"TA",6,0,0,"Detchd",1920,1,1,250,3,0,54,172,"MnPrv",7,2008,"WD","Normal",40000
20,"RL",72,8544,2,"Lvl","CulDSac","Sawyer","Norm","1Fam","1Story",5,6,1966,2006,"Gable","HdBoard","HdBoard",0,0,"TA","TA","CBlock",3,3,1,1,0,1,0,1228,1228,"Gd",1228,0,1228,0,1,1,3,"Gd",6,0,0,"Attchd",1966,1,1,271,3,0,65,0,"MnPrv",6,2008,"WD","Normal",149350
